Timestamp,Object,Confidence,Count
2026-05-04 20:44:53.675184,person,0.5941746830940247,1
2026-05-04 20:44:58.443711,cat,0.5532097220420837,0
2026-05-04 20:44:58.821489,cat,0.5370498895645142,0
2026-05-04 20:45:01.399533,person,0.7072470188140869,1
2026-05-04 20:45:04.715813,person,0.7718698978424072,1
2026-05-04 20:45:05.262452,person,0.6505429744720459,1
2026-05-04 20:45:05.595807,person,0.6437318325042725,1
2026-05-04 20:45:06.048197,person,0.8726246356964111,1
2026-05-04 20:45:07.007035,person,0.8836383819580078,1
2026-05-04 20:45:07.704340,person,0.9238502383232117,1
2026-05-04 20:45:08.174180,person,0.9257323741912842,1
2026-05-04 20:45:08.672104,person,0.934097170829773,1
2026-05-04 20:45:08.970763,person,0.9212251305580139,1
2026-05-04 20:45:09.280180,person,0.9126268625259399,1
2026-05-04 20:45:09.573742,person,0.919548511505127,1
2026-05-04 20:45:10.206886,person,0.9125698208808899,1
2026-05-04 20:45:10.670233,person,0.859453022480011,1
2026-05-04 20:45:10.971965,person,0.8989925384521484,1
2026-05-04 20:45:11.247110,person,0.9253993630409241,1
2026-05-04 20:45:11.540817,person,0.9195834994316101,1
2026-05-04 20:45:11.820821,person,0.9134884476661682,1
2026-05-04 20:45:12.259191,person,0.9240922331809998,1
2026-05-04 20:45:12.577854,person,0.8926928639411926,1
2026-05-04 20:45:14.333943,person,0.5863974690437317,1
2026-05-04 20:45:14.904576,person,0.7007331848144531,1
2026-05-04 20:45:15.218054,person,0.9113760590553284,1
2026-05-04 20:45:16.290994,person,0.9059463143348694,1
2026-05-04 20:45:16.690095,person,0.9028521776199341,1
2026-05-04 20:45:17.217530,person,0.8998887538909912,1
2026-05-04 20:45:17.735028,person,0.8687065243721008,1
2026-05-04 20:45:18.262711,person,0.8973826169967651,1
2026-05-04 20:45:19.323670,person,0.8728936910629272,1
2026-05-04 20:45:19.949977,person,0.8489493727684021,1
2026-05-04 20:45:20.542163,person,0.8549999594688416,1
2026-05-04 20:45:21.138709,person,0.8730171322822571,1
2026-05-04 20:45:21.856180,person,0.8493673205375671,1
2026-05-04 20:45:22.468541,person,0.857440173625946,1
2026-05-04 20:45:23.004945,person,0.8968549370765686,1
2026-05-04 20:45:23.578384,person,0.8656079769134521,1
2026-05-04 20:45:25.307511,person,0.9080312848091125,1
2026-05-04 20:45:25.591118,person,0.9045697450637817,1
2026-05-04 20:45:25.903710,person,0.9091184735298157,1
2026-05-04 20:45:26.170820,person,0.9071738123893738,1
2026-05-04 20:45:26.616229,person,0.9043518900871277,1
2026-05-04 20:45:26.988077,person,0.9054873585700989,1
2026-05-04 20:45:27.253810,person,0.905994713306427,1
2026-05-04 20:45:27.678434,person,0.900990903377533,1
2026-05-04 20:45:28.301214,person,0.9085777997970581,1
2026-05-04 20:45:28.706715,person,0.9123554229736328,1
2026-05-04 20:45:29.083908,person,0.9045345187187195,1
2026-05-04 20:45:29.547219,person,0.9125978946685791,1
2026-05-04 20:45:29.826007,person,0.9062581062316895,1
2026-05-04 20:45:30.381941,person,0.9067926406860352,1
2026-05-04 20:45:30.721303,person,0.9064872860908508,1
2026-05-04 20:45:31.297641,person,0.9093245267868042,1
